,District,School Code,School Name,number,score,vote
671,San Francisco County Office of Education,3830445,Civic Center Sec.,11,0.0,0.925450855764
672,Los Angeles Unified,1937424,"School of Communications, New",327,12.0581039755,0.870950978694
673,Hemet Unified,3330065,Alessandro High,153,13.0,0.467771639042
674,Los Angeles Unified,6058002,Robert Fulton College Prepara,610,30.8213114754,0.808184727938
675,Fillmore Unified,5632021,Fillmore Senior High,624,43.4294871795,0.614634146341
676,Coronado Unified,3731478,Coronado High,127,77.0866141732,0.631088082902
677,Corona-Norco Unified,110627,Eleanor Roosevelt High,1144,54.3111888112,0.469943247562
678,Cuyama Joint Unified,4231205,Cuyama Valley High,30,33.5333333333,0.524693796918
679,Sweetwater Union High,3731502,San Ysidro High,1485,37.4868686869,0.653173965448
680,William S. Hart Union High,102459,Golden Valley High,777,45.3127413127,0.493247068338
681,Lake Elsinore Unified,3330115,Ortega High,69,9.0,0.418744769874
682,West Contra Costa Unified,733253,Gompers (Samuel) Continuation,23,6.0,0.921564694082
683,Poway Unified,3731528,Westview High,152,71.4210526316,0.590174713507
684,El Monte Union High,1937481,Rosemead High,630,43.7984126984,0.809498750164
685,Tulare Joint Union High,5435466,Tulare Western High,870,50.6505747126,0.509095204347
686,William S. Hart Union High,102475,West Ranch High,500,52.056,0.56037496028
687,Los Angeles Unified,110668,Frida Kahlo High,102,22.4411764706,0.922107850668
688,Corona-Norco Unified,3330131,Corona-Norco Alternative,16,7.0,0.581043375328
689,Hanford Joint Union High,1634401,Hanford High,579,38.7789291883,0.41235459286
690,Los Gatos-Saratoga Joint Union High,4337762,Saratoga High,56,68.2857142857,0.764052462527
691,Desert Sands Unified,118885,Shadow Hills High,720,47.6430555556,0.680439104503
692,San Diego Unified,114025,Lincoln High,797,21.6863237139,0.749366595206
693,Perris Union High,3330172,"Perris Lake High, Cont.",90,10.0,0.599527085125
694,Tehachapi Unified,1536135,Tehachapi High,230,43.9739130435,0.264682952183
695,South Monterey County Joint Union High,2732170,King City High,522,37.7011494253,0.708883025506
696,Fontana Unified,3633302,Fontana High,1724,38.099187935,0.767511394713
697,Hayward Unified,135319,Mt. Eden High,643,31.4276827372,0.805712270804
698,Brawley Union High,1331354,"Desert Valley High, Cont.",78,14.0,0.697323900338
699,Rowland Unified,1937564,Rowland (John A.) High,633,54.9478672986,0.58049122807
700,Culver City Unified,1932656,Culver Park High,16,0.0,0.783232413541
701,Corona-Norco Unified,110759,John F. Kennedy High,115,64.347826087,0.521374277896
702,San Juan Unified,3436714,Rio Americano High,137,59.5255474453,0.613832853026
703,Sweetwater Union High,3731627,Otay Ranch Senior High,1063,60.3358419567,0.675064800415
704,Banning Unified,3330222,New Horizon High,26,4.0,0.449500318945
705,Bonita Unified,1937598,Chaparral High (Continuation),39,5.0,0.532519190509
706,Lompoc Unified,4230454,Cabrillo High,431,44.1531322506,0.409012131716
707,Yucaipa-Calimesa Joint Unified,3633351,Green Valley High,22,23.0,0.383247817085
708,Brawley Union High,1331404,Brawley High,1036,44.5328185328,0.697323900338
709,San Mateo Union High,4133070,Hillsdale High,254,46.7086614173,0.779979830754
710,El Monte Union High,1932664,El Monte High,1110,33.4468468468,0.771187739464
711,Los Angeles Unified,1937622,San Fernando Senior High,1779,33.9612141653,0.823900205693
712,Monterey Peninsula Unified,2732253,Central Coast High,36,8.0,0.674866063713
713,East Side Union High,4337903,Silver Creek High,571,37.7933450088,0.772476732629
714,San Luis Coastal Unified,4034807,Morro Bay High,152,41.3421052632,0.582924435721
715,Tracy Joint Unified,119040,John C. Kimball High,422,46.4976303318,0.622109275731
716,Newark Unified,135426,"Bridgepoint High, Continuation",23,17.0,0.786626940927
717,San Francisco Unified,3830031,Wells (Ida B.) High,42,7.2380952381,0.910737683438
718,Orange Unified,3035409,Orange High,1107,40.5275519422,0.569069526537
719,Anderson Valley Unified,2330900,Anderson Valley Jr./Sr. High,104,38.9038461538,0.580357142857
720,Santa Maria Joint Union High,4231452,Delta High,248,8.77419354839,0.43197728687
721,Los Banos Unified,119073,Crossroads Alternative Ed.,40,17.825,0.609182058047
722,Shoreline Unified,2134310,Tomales High,60,33.6666666667,0.77648878577
723,San Francisco Unified,3830064,"Downtown High, Cont.",40,0.0,0.938828162129
724,Coachella Valley Unified,3330354,West Shores High,145,39.0965517241,0.482014388489
725,Riverside Unified,3330362,Summit View Ind. Stdy.,127,16.6456692913,0.55196454629
726,Selma Unified,1036607,Heartland High (Continuation),24,8.45833333333,0.409964736662
727,Temecula Valley Unified,3330370,Temecula Valley High,528,55.4071969697,0.408742194469
728,Kern Union High,1536325,Vista High (Continuation),52,8.0,0.608172969093
729,Oakland Unified,135905,Oakland High,197,26.3401015228,0.925277728796
730,Desert Sands Unified,3330388,Palm Desert High,499,52.9258517034,0.505620848237
731,Galt Joint Union High,119131,Liberty Ranch High,342,54.1725146199,0.473642263464
732,Moreno Valley Unified,3330396,Canyon Springs High,966,45.8768115942,0.601864262215
733,Grossmont Union High,3731809,El Capitan High,239,38.2468619247,0.28692779613
734,Paso Robles Joint Unified,119354,Independence High,44,25.1136363636,0.421278073628
735,Riverside County Office of Education,3330404,Riverside Co. Opportunity,35,3.0,0.666864608076
736,Los Angeles Unified,102764,Alonzo Community Day,189,15.1851851852,0.869295923769
737,Castro Valley Unified,135533,Redwood Continuation High,41,5.0,0.748513127992
738,Trinity Alps Unified,5337456,Trinity High,11,55.0,0.41028128031
739,Pierce Joint Unified,635250,Pierce High,168,41.130952381,0.428927680798
740,El Dorado Union High,930164,Union Mine High,70,58.4571428571,0.335960591133
741,Madera Unified,110965,Madera South High,1571,36.2234245703,0.589822329458
742,Selma Unified,1036672,Selma High,1004,50.2280876494,0.409964736662
743,Moreno Valley Unified,3330438,Valley View High,1076,42.5408921933,0.546990496304
744,Corona-Norco Unified,3330446,Centennial High,1110,52.3495495495,0.432162875041
745,Kern Union High,110999,Frontier High,546,50.8919413919,0.413674372848
746,Murrieta Valley Unified,100420,Vista Murrieta High,746,63.5804289544,0.408031308491
747,El Rancho Unified,1932698,Salazar (Ruben) Continuation,97,5.0,0.730475398805
748,Vacaville Unified,4837803,Vacaville High,400,34.1275,0.570959803117
