,District,School Code,School Name,number,score,vote
64,Los Angeles Unified,1931526,Carson Senior High,164,27.2804878049,0.776502242152
65,San Francisco Unified,102103,Jordan (June) School for Equi,26,19.1538461538,0.857183118439
66,San Francisco Unified,3830031,Wells (Ida B.) High,19,5.0,0.910737683438
67,Sacramento City Unified,3434768,Kennedy (John F.) High,143,34.965034965,0.746039824416
68,San Francisco Unified,3830353,Intl Studies Academy,36,13.9722222222,0.938828162129
69,San Juan Unified,3432838,Encina Preparatory High,96,21.0104166667,0.742994588094
70,Folsom-Cordova Unified,3434792,"Kinney High, Cont.",13,8.0,0.513401072086
71,Riverside Unified,3336492,Ramona High,62,43.435483871,0.554218787348
72,Compton Unified,1931567,Centennial High,176,16.5965909091,0.843711153803
73,Novato Unified,2132272,Novato High,24,20.5,0.740899191039
74,Fresno Unified,1032507,Fresno High,131,16.1908396947,0.571761688236
75,Oakland Unified,135905,Oakland High,254,14.874015748,0.925277728796
76,Natomas Unified,102236,Inderkum High,148,39.3108108108,0.673297678059
77,Hesperia Unified,119115,Oak Hills High,91,34.2087912088,0.291064388962
78,Upland Unified,3637584,Upland High,128,39.9375,0.610185756392
79,Desert Sands Unified,3330388,Palm Desert High,24,45.5416666667,0.505620848237
80,Long Beach Unified,1935758,Millikan High,104,40.1538461538,0.575231756596
81,Moreno Valley Unified,3330396,Canyon Springs High,275,35.7054545455,0.601864262215
82,San Joaquin County Office of Education,3930468,San Joaquin County Community,119,1.64705882353,0.484574111335
83,Tustin Unified,3037553,Tustin High,19,26.0,0.624855443582
84,San Leandro Unified,137588,San Leandro High,183,32.6174863388,0.737482842991
85,Madera Unified,110965,Madera South High,29,34.4827586207,0.589822329458
86,Kern Union High,1532290,East Bakersfield High,46,24.3043478261,0.288645690834
87,Moreno Valley Unified,3330438,Valley View High,164,33.8170731707,0.546990496304
88,Sweetwater Union High,3731064,Chula Vista Senior High,36,52.4166666667,0.754016957886
89,Corona-Norco Unified,3330446,Centennial High,77,44.1428571429,0.432162875041
90,Sacramento City Unified,108951,Arthur A. Benjamin Health Pro,46,39.0434782609,0.813576409309
91,Pasadena Unified,1931674,Marshall Fundamental,53,62.5660377358,0.640983033059
92,Chaffey Joint Union High,3637659,"Valley View High, Cont.",18,0.0,0.740069892208
93,Long Beach Unified,1939875,Wilson High,169,35.5266272189,0.742538438348
94,Vacaville Unified,4837803,Vacaville High,36,31.6666666667,0.570959803117
95,Washington Unified,5735154,River City Senior High,50,28.12,0.782843431314
96,Los Angeles Unified,1937838,San Pedro Senior High,123,30.162601626,0.721876046901
97,Beaumont Unified,3330479,Beaumont Senior High,58,51.7068965517,0.465511092089
98,Desert Sands Unified,3333192,Indio High,11,55.0,0.680439104503
99,Twin Rivers Unified,3436979,Rio Linda High,58,28.1896551724,0.671213208902
100,Lake Elsinore Unified,3330487,Temescal Canyon High,31,32.6774193548,0.453914327917
101,Wasco Union High,1536440,Wasco High,13,38.0,0.391639871383
102,Los Angeles Unified,1931708,Chatsworth Senior High,93,41.8064516129,0.545961333175
