,latitude,longitude,precinct,zip
39,38.3060375281,-122.315134336,055-221163,94559.0
40,38.5113021397,-122.45785724,055-312709,94576.0
41,38.5272381922,-122.453142181,055-312708,95446.0
42,38.3474401739,-122.31854204,055-321672,95431.0
43,38.3218929579,-122.331150388,055-211771,94951.0
44,38.2847995179,-122.266488629,055-111131,94709.0
45,38.3156504063,-122.297859128,055-421221,94530.0
46,38.2878454984,-122.300122584,055-121239,94972.0
47,38.2861558299,-122.291229557,055-121238,94972.0
48,38.2744810027,-122.25843918,055-511441,95632.0
49,38.2981251309,-122.283545526,055-121233,94803.0
50,38.3010521506,-122.290480887,055-121232,94608.0
51,38.2995509447,-122.275876876,055-121231,94703.0
52,38.2866030045,-122.274626599,055-121237,94703.0
53,38.2875151975,-122.30011921,055-121236,94972.0
54,38.2861700488,-122.290119482,055-121235,94608.0
55,38.2819525846,-122.319760634,055-111152,94535.0
56,38.6954633288,-122.484506811,055-313701,95621.0
57,38.5345430724,-122.524525384,055-313702,95820.0
58,38.2827030268,-122.260555161,055-121134,94535.0
59,38.2961740001,-122.264397,055-121431,94609.0
60,38.3160230748,-122.331987908,055-211161,94559.0
61,38.3037744317,-122.321378296,055-211162,94559.0
62,38.5026647778,-122.466008027,055-332604,95476.0
63,38.2955909493,-122.202141098,055-511431,95955.0
64,38.2971030647,-122.298762526,055-221233,94002.0
65,38.2898806487,-122.310225355,055-121156,94559.0
66,38.3327818026,-122.307991641,055-421671,95687.0
67,38.2929729119,-122.312450728,055-121154,94559.0
68,38.2898346556,-122.301534461,055-121155,94607.0
69,38.3021769263,-122.330863222,055-121152,94559.0
70,38.3037609737,-122.323124057,055-121153,94805.0
71,38.2912302624,-122.311007205,055-121151,94559.0
72,38.3873598891,-122.177464506,055-416801,94025.0
73,38.3416015082,-122.308748995,055-221675,94559.0
74,38.2594545306,-122.3015834,055-121158,94607.0
75,38.3179180689,-122.317772385,055-211561,94850.0
76,38.3115677299,-122.319735224,055-211563,94559.0
77,38.3167948982,-122.308898359,055-211562,94559.0
78,38.2875969936,-122.301034736,055-121157,94972.0
79,38.1647848342,-122.241086887,055-561349,94589.0
80,38.164067452,-122.252992383,055-561346,94572.0
81,38.1661814495,-122.268552605,055-561344,94503.0
82,38.1808815698,-122.265460811,055-561342,94503.0
83,38.1951901624,-122.256014594,055-561341,94503.0
84,38.4510350821,-122.361015236,055-312601,94599.0
85,38.5543844978,-122.336980726,055-315702,95818.0
86,38.7044758223,-122.382020841,055-315701,94567.0
87,38.291920534,-122.306230476,055-121552,94710.0
88,38.3023429102,-122.317104176,055-221566,94850.0
89,38.2939509094,-122.309307697,055-121551,94559.0
90,38.3042273592,-122.254225356,055-511221,94720.0
91,38.6116057751,-122.434135722,055-314701,94508.0
92,38.2819672448,-122.29505585,055-521141,94535.0
93,38.2639666372,-122.270892944,055-521143,96021.0
94,38.2819569012,-122.292108678,055-521142,94535.0
95,38.4126107981,-122.366108369,055-311611,95620.0
96,38.336036138,-122.29415839,055-421471,94706.0
97,38.2930945385,-122.299781142,055-221232,94530.0
98,38.5135081538,-122.439667504,055-332605,94508.0
99,38.5146503853,-122.459096419,055-332606,94127.0
100,38.2971030647,-122.298762526,055-221231,94002.0
101,38.5228531461,-122.480705096,055-332601,94015.0
102,38.5167949521,-122.488831548,055-332602,95442.0
103,38.5038255427,-122.467947556,055-332603,95403.0
104,38.3964953508,-122.365990807,055-351611,94599.0
105,38.4081341873,-122.359156385,055-351612,94599.0
106,38.2468959996,-122.269563,055-511141,94559.0
107,38.4017927673,-122.353678723,055-351614,94599.0
108,38.3106457531,-122.276492574,055-521222,94592.0
109,38.2819525846,-122.319760634,055-111151,94535.0
110,38.3042273592,-122.254225356,055-511411,94720.0
111,38.2925439022,-122.287923875,055-121234,94608.0
112,38.3890886974,-122.41849719,055-211761,95639.0
113,38.3377564281,-122.260935357,055-411419,94547.0
114,38.5278919704,-122.142563945,055-411418,95492.0
115,38.4032767478,-122.20594912,055-411417,94602.0
116,38.3555244858,-122.206997585,055-411416,94602.0
117,38.3319832392,-122.253185897,055-411415,94572.0
118,38.3229933406,-122.236863338,055-411414,95637.0
119,38.344879698,-122.267385211,055-411413,95757.0
