,District,School Code,School Name,number,score,vote
455,Potter Valley Community Unified,2330041,Potter Valley High,47,38.2765957447,0.507246376812
456,Carpinteria Unified,4230587,Carpinteria Senior High,105,85.0380952381,0.68770526917
457,San Diego Unified,3730884,Scripps Ranch High,768,89.7174479167,0.591954022989
458,William S. Hart Union High,1933902,Hart (William S.) Senior High,764,82.4947643979,0.49361667744
459,Petaluma Joint Union High,4935151,Petaluma High,683,74.8579795022,0.730907227063
460,Victor Valley Union High,110064,University Preparatory,128,87.84375,0.4636347359
461,Red Bluff Joint Union High,5230065,Red Bluff IS High,39,16.7179487179,0.319503980404
462,Ripon Unified,3935756,Ripon High,396,65.3282828283,0.445149911817
463,Fallbrook Union High,3730967,"Oasis High, Alt.",48,62.5,0.422241280732
464,Linden Unified,118307,Pride Continuation,13,23.0,0.597883597884
465,Chawanakee Unified,6114862,Chawanakee Academy,11,64.0,0.312555786968
466,San Jose Unified,4337200,San Jose High,66,69.8333333333,0.845191682911
467,Escondido Union High,3732062,Escondido High,413,72.5302663438,0.530253258451
468,Fresno Unified,1035831,Roosevelt High,66,62.5606060606,0.737427256145
469,San Dieguito Union High,3731007,La Costa Canyon High,1215,77.2880658436,0.633263943723
470,Napa Valley Unified,101964,Napa Valley Alternative,41,46.2926829268,0.646035992218
471,Sacramento City Unified,101972,Rosemont High,317,62.5930599369,0.629989212513
472,Grossmont Union High,3730702,West Hills High,1035,67.3400966184,0.382418452705
473,Colton Joint Unified,3632742,Colton High,206,47.0388349515,0.608673338465
474,Gilroy Unified,118380,Christopher High,368,71.3994565217,0.697410402909
475,Sweetwater Union High,3731064,Chula Vista Senior High,89,63.9662921348,0.756660746004
476,Santa Rosa High,4935292,Piner High,171,55.8713450292,0.73653181541
477,Oxnard Union High,5631619,Camarillo (Adolfo) High,812,81.8879310345,0.537989813949
478,Pomona Unified,1937028,Pomona Senior High,12,50.0,0.722985633979
479,Vista Unified,118430,Mission Vista High,456,82.6403508772,0.519880774963
480,San Bernardino City Unified,3632809,Sierra High,13,0.0,0.735481736994
481,Valley Center-Pauma Unified,3731114,Valley Center High,434,77.1221198157,0.406899255194
482,Tamalpais Union High,2133692,Tamalpais High,653,83.3047473201,0.887084592145
483,Murrieta Valley Unified,102079,Tenaja Canyon Academy,17,65.0,0.408171068886
484,Napa Valley Unified,2830016,Vintage High,524,65.7614503817,0.646035992218
485,South San Francisco Unified,4132551,El Camino High,108,58.4722222222,0.823785517874
486,Lakeport Unified,1732304,Clear Lake High,197,64.883248731,0.541048466864
487,Sweetwater Union High,3731155,Options Secondary,24,62.5833333333,0.756660746004
488,Carlsbad Unified,3731163,Carlsbad Seaside Academy,11,70.0,0.551598281038
489,Gilroy Unified,4332839,Gilroy High,171,73.2105263158,0.697410402909
490,Redondo Beach Unified,1937143,Redondo Union High,864,77.0416666667,0.688203690726
491,Oxnard Union High,5631742,Channel Islands High,16,56.0,0.552415210689
492,San Diego Unified,3731213,Clairemont High,303,68.204620462,0.598737936154
493,Newport-Mesa Unified,3034907,Back Bay High (Cont.),42,26.0,0.475611111111
494,Washington Unified,5730080,W Sacto Sch/Indp Study,13,62.0,0.604539305576
495,Ramona City Unified,102178,Future Bound Independent Stud,18,17.0,0.334969170756
496,Napa Valley Unified,2830115,New Technology High,142,85.8028169014,0.69111476008
497,Davis Joint Unified,5730098,Davis Independent Study,25,60.08,0.630025125628
498,Cotati-Rohnert Park Unified,4935482,Rancho Cotate High,528,56.1856060606,0.738995274807
