,District,School Code,School Name,number,score,vote
223,Sacramento City Unified,3435419,McClatchy (C. K.) High,84,8.35714285714,0.795069767442
224,San Diego Unified,3734431,Mission Bay High,89,4.47191011236,0.655847688123
225,Modesto City High,5034913,Robert Elliott Alternative Ed,17,0.0,0.53838479573
226,Culver City Unified,1932201,Culver City High,289,23.0761245675,0.810301028833
227,Compton Unified,1995695,"Chavez (Cesar) High, Cont.",12,0.0,0.836827330825
228,Jurupa Unified,3337136,Rubidoux High,11,27.0,0.623540063377
229,Ventura Unified,5630793,Buena High,13,0.0,0.642474811083
230,San Diego Unified,3730371,San Diego SCPA,39,28.1025641026,0.647322381054
231,Los Angeles Unified,101329,William J. Johnston Community,11,0.0,0.738540442355
232,Palm Springs Unified,3335130,Palm Springs High,50,2.24,0.652817873729
233,Los Angeles Unified,1936350,North Hollywood Senior High,55,18.3818181818,0.806232062321
234,Lynwood Unified,109538,Marco Antonio Firebaugh High,40,2.75,0.841880567122
235,Southern Kern Unified,1534957,Rosamond High,13,0.0,0.518327779461
236,Roseville Joint Union High,3136504,Roseville High,11,0.0,0.463985905275
237,Kern Union High,1530708,Bakersfield High,203,15.6600985222,0.433548850575
238,Moreno Valley Unified,3331071,Vista del Lago High,326,12.2668711656,0.622008590714
239,West Contra Costa Unified,732164,De Anza Senior High,122,4.95081967213,0.8259762309
240,Newark Unified,130054,Newark Memorial High,46,15.1304347826,0.787733379864
241,Fremont Unified,130062,American High,39,7.66666666667,0.766172677153
242,Los Angeles County Office of Education,121871,Los Padrinos Juvenile,29,0.0,0.75667294274
243,Victor Valley Union High,3630100,Goodwill High,36,0.0,0.512803590285
244,Anaheim Union High,3030038,Cypress High,42,37.9523809524,0.549914471433
245,William S. Hart Union High,1995802,Valencia High,50,21.98,0.554459064327
246,San Diego Unified,107102,Kearny Construction Tech,11,9.0,0.625410480551
247,Anaheim Union High,3038239,Western High,25,15.96,0.646840608384
248,Los Angeles Unified,1934371,Thomas Jefferson Senior High,26,8.0,0.919796419796
249,Compton Unified,1932326,Dominguez High,251,2.06374501992,0.895601229351
250,Los Angeles County Office of Education,121897,Central Juvenile Hall,47,0.0,0.75667294274
251,West Sonoma County Union High,4930400,Analy High,11,27.0,0.778652874104
252,Sequoia Union High,4138053,Woodside High,11,18.0,0.786446020489
253,San Diego Unified,3732997,Hoover High,127,9.48031496063,0.728962622427
254,Chaffey Joint Union High,3632205,Chaffey High,22,23.0,0.67337139891
255,Vista Unified,3738705,Vista High,13,0.0,0.519880774963
256,Norwalk-La Mirada Unified,1936467,Norwalk High,24,4.125,0.658341764737
257,Anaheim Union High,3034204,Magnolia High,12,17.0,0.646840608384
258,Los Angeles Unified,1932383,Susan Miller Dorsey Senior Hi,439,6.47608200456,0.889939485628
259,Hayward Unified,138339,Tennyson High,54,1.94444444444,0.817827840356
260,Jefferson Union High,4133393,Jefferson High,12,0.0,0.809661649299
261,Vallejo City Unified,4838504,Vallejo High,308,8.79545454545,0.820217044851
262,San Francisco Unified,3839081,Washington (George) High,29,3.62068965517,0.859501229364
263,Folsom-Cordova Unified,3431533,Cordova High,91,24.1758241758,0.520936063519
264,Santa Clara Unified,4338802,Wilcox (Adrian) High,14,7.0,0.759868102027
265,Los Angeles Unified,1934454,David Starr Jordan Senior Hig,71,2.70422535211,0.918353525472
266,Sequoia Union High,4133716,Menlo-Atherton High,15,14.0,0.861706689537
267,ABC Unified,1930361,Artesia High,89,36.0674157303,0.688731585996
268,Los Angeles Unified,1938554,Sylmar Senior High,12,17.0,0.824708926261
269,Pomona Unified,1995901,Diamond Ranch High,123,15.4634146341,0.696218330074
270,San Diego Unified,3734654,Morse High,184,6.5652173913,0.776550851034
271,San Diego Unified,107029,San Diego International Studi,14,43.0,0.720540187323
272,Castro Valley Unified,132225,Castro Valley High,93,16.4516129032,0.749482517483
273,Long Beach Unified,1934470,Jordan High,409,8.42298288509,0.762278978389
274,Silver Valley Unified,3630274,Silver Valley High,24,20.5,0.439288811795
275,Chaffey Joint Union High,3630225,Alta Loma High,90,21.0777777778,0.480173587474
276,Downey Unified,1932441,Downey High,53,20.6037735849,0.685904350953
277,Long Beach Unified,1995935,Cabrillo High,265,7.81509433962,0.763516483516
278,Manteca Unified,3930310,Sierra High,35,20.0857142857,0.498116875228
279,West Contra Costa Unified,730291,Middle College High,13,8.0,0.870882852292
280,Los Angeles Unified,1938612,William Howard Taft Senior Hi,142,5.50704225352,0.693472451966
281,Alameda City Unified,130229,Alameda High,13,0.0,0.893149245892
282,San Lorenzo Unified,111799,East Bay Arts High,16,0.0,0.826870689156
283,Antelope Valley Union High,1995968,Phoenix High Community Day,12,0.0,0.553662314671
284,Duarte Unified,1932482,Duarte High,30,13.5333333333,0.652655057047
285,East Side Union High,4330692,Evergreen Valley High,11,0.0,0.800276490201
286,Manteca Unified,101576,Weston Ranch High,108,16.6481481481,0.498116875228
287,Sweetwater Union High,111831,Olympian High,33,30.6666666667,0.670869631667
288,Grossmont Union High,3734761,Mount Miguel High,117,6.07692307692,0.602362570924
289,Fairfield-Suisun Unified,4830451,Armijo High,162,8.54320987654,0.668495814955
290,Monterey Peninsula Unified,2735348,Seaside High,37,5.18918918919,0.66906710311
291,San Marcos Unified,105726,Mission Hills High,12,17.0,0.474605542036
292,Temecula Valley Unified,105734,Great Oak High,19,32.0,0.403044103547
293,Liberty Union High,107797,Heritage High,86,25.476744186,0.595749440716
294,Lemoore Union High,1635606,Lemoore High,65,10.8307692308,0.421127512004
295,Colton Joint Unified,3631322,Bloomington High,16,13.0,0.761257142857
296,Chaffey Joint Union High,3630373,Etiwanda High,340,27.7647058824,0.527760767504
297,Vista Unified,3730728,Rancho Buena Vista High,12,17.0,0.519880774963
298,Los Angeles Unified,1996073,Tri-C Community Day,17,0.0,0.847608200456
299,San Diego Unified,3732781,Henry High,110,16.3727272727,0.616379310345
300,Chaffey Joint Union High,3634482,Ontario High,47,12.8510638298,0.67337139891
301,Fremont Unified,134452,Kennedy (John F.) High,22,18.0,0.720711111111
302,Torrance Unified,1938752,Torrance High,23,13.0434782609,0.671159684274
303,Twin Rivers Unified,3433794,Grant Union High,234,9.75213675214,0.607810598518
304,Hesperia Unified,3630407,Hesperia High,52,5.84615384615,0.352627032121
305,Los Angeles Unified,1996115,City of Angels,38,2.52631578947,0.871240434241
306,Long Beach Unified,1934678,Lakewood High,390,17.0025641026,0.616494507296
307,Apple Valley Unified,3630423,Apple Valley High,99,15.8585858586,0.443490545534
308,Liberty Union High,730457,Freedom High,93,23.7204301075,0.598521493109
309,San Bernardino County Office of Educatio,3630431,Detention and Assessment,26,0.0,0.608673338465
310,Antioch Unified,730465,Deer Valley High,500,7.63,0.724910014821
311,San Bernardino City Unified,3632221,Cajon High,277,11.1985559567,0.558927994834
312,Mt. Diablo Unified,734566,Mt. Diablo High,37,5.62162162162,0.703272136034
313,San Diego Unified,114025,Lincoln High,251,3.89641434263,0.810995542348
314,Paramount Unified,1936749,Paramount High,221,24.8280542986,0.850047192072
315,Campbell Union High,4330866,Branham High,12,17.0,0.720987654321
316,Chino Valley Unified,3632502,Chino High,16,13.0,0.556755844375
317,San Leandro Unified,134528,Lincoln High (Continuation),11,9.0,0.768664047151
318,Norwalk-La Mirada Unified,1934728,La Mirada High,11,18.0,0.64513064133
319,Oceanside Unified,3739018,El Camino High,136,22.4191176471,0.510378020656
320,Los Angeles Unified,6061451,Foshay Learning Center,29,27.9655172414,0.901808601538
321,Lake Elsinore Unified,107920,Lakeside High,17,24.0,0.424122505162
322,Travis Unified,4838801,Vanden High,121,23.7933884298,0.668495814955
323,Kern Union High,1533330,Highland High,11,18.0,1.0
324,Modesto City High,5034905,Modesto High,24,12.25,0.671845032605
