A:group1,B:group2,C:test,D:corr,E:counts,F:mean,G:std,H:corr_w_1
econ_dis,afam,math,-0.376,176,0.501,11.042,-0.223
econ_dis,afam_econ_dis,math,-0.278,133,-1.561,10.690,-0.221
econ_dis,afam_econ_ok,math,-0.294,93,5.939,13.431,-0.140
econ_dis,all,math,-0.356,400,2.314,5.204,-0.184
econ_dis,asian,math,-0.282,144,27.578,12.896,-0.250
econ_dis,asian_econ_dis,math,-0.126,105,24.169,14.473,-0.297
econ_dis,asian_econ_ok,math,-0.247,95,34.037,13.286,-0.048
econ_dis,econ_dis,math,nan,400,0.000,0.000,-0.184
econ_dis,econ_ok,math,-0.309,263,9.414,9.561,-0.139
econ_dis,female,math,-0.380,364,3.617,6.729,-0.226
econ_dis,hispanic,math,-0.171,388,-0.970,5.509,-0.192
econ_dis,hispanic_econ_dis,math,0.053,372,-1.883,4.682,-0.175
econ_dis,hispanic_econ_ok,math,-0.195,225,4.949,10.181,-0.155
econ_dis,male,math,-0.331,386,2.173,5.387,-0.186
econ_dis,white,math,0.089,169,14.990,12.629,0.071
econ_dis,white_econ_dis,math,0.212,118,12.053,11.466,0.069
econ_dis,white_econ_ok,math,0.226,132,20.963,14.411,0.087
econ_ok,afam,math,-0.112,154,-8.608,11.527,-0.288
econ_ok,afam_econ_dis,math,-0.114,113,-10.134,12.507,-0.264
econ_ok,afam_econ_ok,math,-0.052,93,-4.254,11.230,-0.262
econ_ok,all,math,0.104,275,-5.812,6.858,-0.263
econ_ok,asian,math,-0.056,137,16.832,11.165,-0.362
econ_ok,asian_econ_dis,math,0.042,96,13.808,15.412,-0.357
econ_ok,asian_econ_ok,math,-0.058,97,20.365,10.666,-0.238
econ_ok,econ_dis,math,0.309,263,-9.414,9.561,-0.256
econ_ok,econ_ok,math,nan,275,0.000,0.000,-0.263
econ_ok,female,math,0.094,269,-4.826,6.954,-0.266
econ_ok,hispanic,math,0.121,264,-10.835,10.008,-0.244
econ_ok,hispanic_econ_dis,math,0.249,243,-12.574,11.132,-0.237
econ_ok,hispanic_econ_ok,math,0.014,227,-4.538,8.722,-0.241
econ_ok,male,math,0.094,268,-6.104,7.258,-0.258
econ_ok,white,math,0.334,170,3.518,10.453,-0.057
econ_ok,white_econ_dis,math,0.338,115,-0.398,13.084,-0.035
econ_ok,white_econ_ok,math,0.419,139,8.145,11.835,0.012
female,afam,math,-0.087,172,-4.028,10.431,-0.341
female,afam_econ_dis,math,-0.139,130,-4.653,11.116,-0.284
female,afam_econ_ok,math,-0.010,93,-0.929,11.356,-0.303
female,all,math,0.097,371,-1.055,3.877,-0.333
female,asian,math,-0.013,146,21.625,11.688,-0.431
female,asian_econ_dis,math,0.022,105,19.629,15.123,-0.395
female,asian_econ_ok,math,0.044,97,25.543,12.616,-0.298
female,econ_dis,math,0.380,364,-3.617,6.729,-0.325
female,econ_ok,math,-0.094,269,4.826,6.954,-0.248
female,female,math,nan,371,0.000,0.000,-0.333
female,hispanic,math,0.176,362,-4.584,7.141,-0.300
female,hispanic_econ_dis,math,0.303,342,-5.450,8.097,-0.284
female,hispanic_econ_ok,math,0.041,227,0.124,10.005,-0.267
female,male,math,0.082,361,-1.253,6.127,-0.318
female,white,math,0.287,173,8.530,12.276,-0.075
female,white_econ_dis,math,0.326,118,5.359,13.166,-0.061
female,white_econ_ok,math,0.348,137,13.337,14.457,-0.016
hispanic,afam,math,-0.272,174,1.863,9.869,-0.315
hispanic,afam_econ_dis,math,-0.225,132,-0.394,9.738,-0.282
hispanic,afam_econ_ok,math,-0.171,93,6.884,12.609,-0.257
hispanic,all,math,-0.171,393,3.428,6.178,-0.262
hispanic,asian,math,-0.074,146,30.665,10.987,-0.449
hispanic,asian_econ_dis,math,-0.026,105,29.218,13.434,-0.428
hispanic,asian_econ_ok,math,0.110,97,37.461,11.305,-0.362
hispanic,econ_dis,math,0.171,388,0.970,5.509,-0.260
hispanic,econ_ok,math,-0.121,264,10.835,10.008,-0.231
hispanic,female,math,-0.176,362,4.584,7.141,-0.285
hispanic,hispanic,math,nan,393,0.000,0.000,-0.262
hispanic,hispanic_econ_dis,math,0.316,372,-0.851,2.908,-0.231
hispanic,hispanic_econ_ok,math,-0.045,227,6.052,7.668,-0.276
hispanic,male,math,-0.126,383,3.185,6.333,-0.260
hispanic,white,math,0.280,166,16.796,12.699,-0.071
hispanic,white_econ_dis,math,0.415,115,12.436,13.681,-0.127
hispanic,white_econ_ok,math,0.484,132,22.201,14.830,-0.114
hispanic_econ_dis,afam,math,-0.394,169,3.229,10.335,-0.240
hispanic_econ_dis,afam_econ_dis,math,-0.283,132,0.508,10.123,-0.249
hispanic_econ_dis,afam_econ_ok,math,-0.285,89,8.503,13.392,-0.148
hispanic_econ_dis,all,math,-0.295,372,4.167,7.175,-0.179
hispanic_econ_dis,asian,math,-0.265,136,33.175,11.895,-0.317
hispanic_econ_dis,asian_econ_dis,math,-0.106,103,30.780,13.585,-0.387
hispanic_econ_dis,asian_econ_ok,math,-0.079,89,41.223,11.618,-0.243
hispanic_econ_dis,econ_dis,math,-0.053,372,1.883,4.682,-0.179
hispanic_econ_dis,econ_ok,math,-0.249,243,12.574,11.132,-0.142
hispanic_econ_dis,female,math,-0.303,342,5.450,8.097,-0.202
