,District,School Code,School Name,number,score,vote
204,Yuba City Unified,5139001,Yuba City High,561,49.192513369,0.402011581835
205,Oxnard Union High,5630389,Pacifica,73,59.0,0.647087467283
206,Lake Elsinore Unified,3330487,Temescal Canyon High,910,47.8483516484,0.453914327917
207,Wasco Union High,1536440,Wasco High,12,67.0,0.391639871383
208,Sonora Union High,5530043,Bird High,21,24.0,0.402743379691
209,Los Angeles Unified,1931708,Chatsworth Senior High,403,43.7196029777,0.545961333175
210,Yosemite Unified,2030013,Yosemite High,434,46.6820276498,0.259656652361
211,Temecula Valley Unified,3330495,Rancho Vista High,29,34.0,0.408742194469
212,Manhattan Beach Unified,1935808,Mira Costa High,1937,79.5467217346,0.682744775044
213,Sweetwater Union High,3733953,Mar Vista Senior High,196,56.9846938776,0.669663669664
214,Marysville Joint Unified,5835202,Marysville High,326,46.5613496933,0.226726726727
215,Kern County Office of Education,1530310,Kern County Community,59,8.86440677966,0.42465976693
216,Hemet Unified,3330503,Helen Hunt Jackson Alternativ,74,44.5675675676,0.467771639042
217,Mountain View-Los Altos Union High,4334728,Mountain View High,1262,69.2828843106,0.829648526077
218,Placer Union High,3131851,Colfax High,753,53.7197875166,0.391708967851
219,Riverside Unified,3330511,Opportunity Program,22,18.0,0.55196454629
220,Sacramento City Unified,3430865,West Campus,184,75.6902173913,0.797459584296
221,Moorpark Unified,5630371,Moorpark College,43,60.7441860465,0.518262586377
222,Conejo Valley Unified,123349,Century Academy,31,80.5483870968,0.573899239703
223,East Nicolaus Joint Union High,5132758,East Nicolaus High,173,60.6416184971,0.361258278146
224,Tustin Unified,102871,Arnold O. Beckman High,1040,78.1634615385,0.624855443582
225,Elk Grove Unified,3430873,Franklin High,741,62.8825910931,0.635654169855
226,Colusa Unified,631259,Colusa High,71,71.7323943662,0.338235294118
227,William S. Hart Union High,1931740,Saugus High,1989,53.9416792358,0.45738545338
228,San Ramon Valley Unified,113118,Dougherty Valley High,573,74.3071553229,0.711773832098
229,Murrieta Valley Unified,3330529,Murrieta Valley High,1589,60.7872876023,0.551023137622
230,Central Unified,1030626,Central High East Campus,751,42.9760319574,0.586681844052
231,Los Angeles Unified,1933795,Ulysses S. Grant Senior High,222,37.8423423423,0.743107540624
232,Los Angeles Unified,1939941,John F. Kennedy High,70,62.9,0.607977991747
233,Kern Union High,1530344,Stockdale High,985,63.7664974619,0.815833333333
234,Hemet Unified,3330537,West Valley High,214,62.5747663551,0.410739052903
235,Garden Grove Unified,3033578,La Quinta High,32,75.0,0.601399900892
236,Stockton Unified,3932654,Franklin High,41,61.1951219512,0.546288209607
237,Whittier Union High,1937903,Santa Fe High,56,65.8571428571,0.783517010062
238,Oxnard Union High,5634548,Oxnard High,304,57.0164473684,0.647087467283
239,Val Verde Unified,3330552,Rancho Verde High,73,68.5753424658,0.553964887475
240,Fortuna Union High,1233402,Fortuna Union High,776,35.4278350515,0.516473887136
241,Los Angeles Unified,107003,Northridge Academy High,133,53.2481203008,0.746801978509
242,Mt. Diablo Unified,731646,College Park High,1414,59.3613861386,0.706974540128
243,Kern Union High,1530369,Centennial High,1238,57.1663974152,0.298972449739
244,Las Virgenes Unified,1931781,Calabasas High,1929,65.6879212027,0.64766536965
245,Hemet Unified,113159,Tahquitz High,124,49.8064516129,0.410739052903
246,Santa Cruz County Office of Education,4430278,Santa Cruz County,201,18.8855721393,0.751190229766
247,Fullerton Joint Union High,3033610,"La Vista High, Cont.",40,22.325,0.591143294806
248,Palm Springs Unified,3330818,Desert Hot Springs High,57,36.7543859649,0.528595296234
249,Shasta Union High,4532750,Enterprise High,611,55.9639934534,0.295739575316
250,San Francisco Unified,3830288,Balboa High,86,74.8488372093,0.857183118439
251,Mt. Diablo Unified,737809,Ygnacio Valley High,172,60.4127906977,0.699944842802
252,Palm Springs Unified,3330578,Cathedral City High,239,58.2552301255,0.696723575888
253,Carmel Unified,2730414,Carmel High,683,68.1171303075,0.679044744784
254,Corona-Norco Unified,3330586,Lee V. Pollard High (Cont.),78,23.5384615385,0.581043375328
255,Clovis Unified,1030683,Clovis East High,646,64.23374613,0.398396767466
256,Los Angeles Unified,1933852,Alexander Hamilton Senior Hig,615,67.2715447154,0.816042024447
257,Acalanes Union High,733725,Las Lomas High,1435,69.4606271777,0.74777603349
258,Mountain View-Los Altos Union High,4334116,Los Altos High,1060,78.0632075472,0.776614310646
259,Perris Union High,113191,Heritage High,499,50.1563126253,0.502294893861
260,Esparto Unified,5732904,Esparto High,58,62.2068965517,0.542914171657
261,Sutter Union High,5137500,Sutter High,540,42.8351851852,0.351928692178
262,Roseville Joint Union High,3130119,"Independence High, Alt.",68,53.1764705882,0.465835086665
263,Modesto City High,5030135,Johansen (Peter) High,312,44.0224358974,0.298161470823
264,Claremont Unified,1931823,Claremont High,1246,59.8194221509,0.593502314996
265,Monrovia Unified,1935923,Monrovia High,505,66.7366336634,0.687778528022
266,Val Verde Unified,109108,Citrus Hill High,61,63.9508196721,0.599527085125
267,Corona-Norco Unified,3330446,Centennial High,816,58.2450980392,0.432162875041
268,Garden Grove Unified,3035706,Rancho Alamitos High,216,42.1944444444,0.61663399608
269,San Luis Coastal Unified,4036703,San Luis Obispo High,1229,61.0634662327,0.644798745426
270,Lodi Unified,3934783,Lodi High,1180,62.9008474576,0.501566784175
271,Hemet Unified,3332673,Hemet High,832,60.40625,0.399497487437
272,Temecula Valley Unified,3330636,Susan H. Nelson High,73,49.5342465753,0.408742194469
273,Vacaville Unified,4833869,Country High,11,9.0,0.570959803117
274,William S. Hart Union High,1933902,Hart (William S.) Senior High,1401,66.8044254104,0.493247068338
275,San Diego Unified,3731213,Clairemont High,397,53.0302267003,0.604657849339
276,Santa Monica-Malibu Unified,1938000,Santa Monica High,1568,69.0051020408,0.83513562224
277,San Lorenzo Unified,137810,San Lorenzo High,24,42.0,0.789598540146
278,Pajaro Valley Unified,4437901,Watsonville High,13,85.0,0.788247387357
279,Potter Valley Community Unified,2330041,Potter Valley High,11,45.0,0.49634369287
280,Los Angeles Unified,1931864,Grover Cleveland High,511,86.1428571429,0.695140327745
281,Imperial Unified,1335900,Imperial High,221,71.1357466063,0.610309278351
282,Kern Union High,1536606,West High,139,47.618705036,0.40262955988
283,Folsom-Cordova Unified,3430501,"Walnutwood High, Alt.",60,36.65,0.513401072086
284,Middletown Unified,1736008,Middletown High,357,42.3585434174,0.49872611465
285,Carlsbad Unified,3730017,Carlsbad Village Academy,16,19.0,0.549352222947
286,Orange Unified,3035748,Richland Continuation High,38,18.4736842105,0.569069526537
