,District,School Code,School Name,number,score,vote
60,Fontana Unified,3633302,Fontana High,43,46.3720930233,0.767511394713
61,Hayward Unified,135319,Mt. Eden High,13,50.0,0.805712270804
62,Alvord Unified,3334299,Norte Vista High,69,40.5507246377,0.641564318035
63,Rowland Unified,1937564,Rowland (John A.) High,26,46.3461538462,0.58049122807
64,Glendale Unified,1933472,"Daily (Allan F.) High, Cont.",42,4.57142857143,0.66717603912
65,Elk Grove Unified,116897,Cosumnes Oaks High,123,46.3089430894,0.635654169855
66,Anaheim Union High,3033115,John F. Kennedy High,124,51.8064516129,0.620361429163
67,Fullerton Joint Union High,3037348,Sunny Hills High,58,56.8103448276,0.634521880065
68,Banning Unified,3330214,Banning High,107,22.5514018692,0.449500318945
69,Plumas Unified,3236007,Quincy Junior/Senior High,33,60.4545454545,0.579813250333
70,Ojai Unified,5634076,Nordhoff High,115,42.5913043478,0.733727810651
71,San Juan Unified,3436714,Rio Americano High,177,39.0169491525,0.613832853026
72,San Juan Unified,3431111,Casa Roble Fundamental High,422,36.2701421801,0.442007644589
73,Pittsburg Unified,735407,Pittsburg Senior High,105,37.0761904762,0.811901646119
74,Delano Joint Union High,100529,Cesar E. Chavez High,26,92.1538461538,0.800452147702
75,Oak Park Unified,5630132,Oak Park High,16,75.0,0.679618001047
76,Salinas Union High,2730166,Everett Alvarez High,46,32.7826086957,0.766725159026
77,Natomas Unified,3430584,Natomas High,25,43.76,0.638572425017
78,El Dorado Union High,930164,Union Mine High,205,48.4585365854,0.335960591133
79,Tracy Joint Unified,3930302,Merrill F. West High,141,41.304964539,0.628774661119
80,Elk Grove Unified,3430592,Laguna Creek High,80,43.95,0.669520992267
81,San Diego Unified,3733698,Madison High,130,38.4461538462,0.604657849339
82,Lompoc Unified,4230454,Cabrillo High,140,35.6642857143,0.409012131716
83,Stanislaus County Office of Education,5030085,John B. Allard,114,3.57894736842,0.616432613708
84,Sierra Sands Unified,1530054,Mesquite Cont. High,16,31.0,0.31420233463
85,Yucaipa-Calimesa Joint Unified,3633351,Green Valley High,12,8.0,0.383247817085
86,Brawley Union High,1331404,Brawley High,12,42.0,0.697323900338
87,San Mateo Union High,4133070,Hillsdale High,11,55.0,0.779979830754
88,Turlock Unified,5036884,"Roselawn High, Cont.",32,0.0,0.616432613708
89,Los Angeles Unified,1935568,John Marshall Senior High,225,38.6755555556,0.690659481653
90,Elk Grove Unified,108753,Pleasant Grove High,139,56.6978417266,0.53358802929
91,Los Angeles Unified,1931476,Canoga Park Senior High,69,45.1449275362,0.744038635678
92,Placer Union High,3135704,Placer High,222,38.3243243243,0.466746794872
93,Glendale Unified,1933530,Glendale High,1232,40.6038961039,0.649555830428
94,Hemet Unified,106716,Hamilton High,176,42.1931818182,0.306974190005
95,Placer Union High,3132453,Del Oro High,210,52.4333333333,0.406476190476
96,Patterson Joint Unified,5036256,Patterson High,112,48.2589285714,0.577589023195
97,San Francisco Unified,3834082,Mission High,11,45.0,0.938423268274
98,Dos Palos Oro Loma Joint Unified,2431203,Dos Palos High,146,43.8356164384,0.372367312553
99,William S. Hart Union High,1931492,Canyon High,99,53.4141414141,0.579585410653
100,San Juan Unified,3430097,La Entrada Continuation High,13,0.0,0.527574273001
101,Lodi Unified,3930344,Independence,11,18.0,0.41589295467
102,Twin Rivers Unified,3430634,Elwood J. Keema High,61,16.3278688525,0.524216204068
103,Barstow Unified,3630803,Barstow High,216,31.125,0.488238562697
104,Mt. Diablo Unified,731380,Clayton Valley High,105,26.2666666667,0.66013560674
105,Whittier Union High,1939701,Whittier High,167,35.9820359281,0.78215661104
106,Exeter Union High,5431598,Exeter High,121,44.694214876,0.455
107,West Sonoma County Union High,4931507,El Molino High,123,47.9756097561,0.739003936334
108,Lake Elsinore Unified,3332350,Elsinore High,350,42.72,0.382344624781
109,Napa Valley Unified,121087,American Canyon High,27,44.4444444444,0.717882632831
