,District,School Code,School Name,number,score,vote
865,Vacaville Unified,4830089,Wood (Will C.) High,478,60.4058577406,0.533185589272
866,Los Angeles Unified,1933233,Sherman Oaks Center for Enric,173,90.7919075145,0.695140327745
867,San Mateo Union High,4130738,Capuchino High,155,63.1290322581,0.773506840174
868,Burbank Unified,1931187,Burbank High,1080,65.5259259259,0.687874685747
869,Fontana Unified,120758,Jurupa Hills High,33,67.0,0.782992589478
870,San Rafael City High,2134005,Terra Linda High,316,85.2405063291,0.815808609657
871,San Jose Unified,4330080,Gunderson High,103,66.3883495146,0.726104035234
872,Bonita Unified,1937739,San Dimas High,248,71.3266129032,0.532519190509
873,San Francisco Unified,3830387,Asawa (Ruth) San Francisco Sc,158,91.335443038,0.886606782398
874,Corcoran Joint Unified,1632207,Corcoran High,24,42.0,0.573102678571
875,Elk Grove Unified,3430352,"Las Flores High, Alt.",13,46.0,0.810262114997
876,San Diego Unified,3730231,Twain High,18,28.0,0.63646714996
877,Chaffey Joint Union High,3631058,Los Osos High,779,69.8831835687,0.432260912753
878,Fairfield-Suisun Unified,4836003,Sem Yeto Continuation High,14,29.0,0.649664153932
879,San Francisco Unified,3831765,Galileo High,11,91.0,0.904845733346
880,Alvord Unified,3330008,La Sierra High,248,71.2782258065,0.641564318035
881,Hanford Joint Union High,1630169,Hanford West High,244,56.4590163934,0.41235459286
882,Bear Valley Unified,3631066,Big Bear High,185,73.7567567568,0.359212738602
883,Ventura Unified,5630298,El Camino High,131,84.0458015267,0.733727810651
884,Irvine Unified,3035102,University High,587,80.9744463373,0.631859982201
885,Morgan Hill Unified,102368,Ann Sobrato High,401,75.6009975062,0.62508259548
886,Anaheim Union High,3033057,Katella High,65,61.3846153846,0.570533680443
887,Washington Unified,1038306,Washington High,13,54.0,0.443277310924
888,Burbank Unified,1931237,Burroughs High,648,78.487654321,0.808108640031
889,River Delta Joint Unified,4835302,Rio Vista High,113,63.8407079646,0.542412270509
890,Riverside Unified,3330024,Arlington High,223,67.5246636771,0.512108731466
891,Las Virgenes Unified,1931260,Indian Hills Continuation High,11,55.0,0.609734381956
892,Center Joint Unified,3430378,Center High,243,69.8477366255,0.514728477984
893,San Mateo Union High,4130472,Burlingame High,496,84.3306451613,0.771918338194
894,Modoc Joint Unified,2535409,Modoc High,90,56.8777777778,0.263610315186
895,San Juan Unified,3430386,El Sereno Alternative Educati,53,44.8679245283,0.486412512219
896,Acalanes Union High,731125,Campolindo High,627,87.8133971292,0.704480874317
897,Madera Unified,2035707,Madera High,185,74.7189189189,0.589822329458
898,Palos Verdes Peninsula Unified,1933308,"Rancho del Mar High, Cont.",21,10.0,0.558045395403
