,District,School Code,School Name,number,score,vote
351,Placer Union High,3131687,"Chana High, Cont.",32,12.375,0.643084541917
352,Folsom-Cordova Unified,3434792,"Kinney High, Cont.",47,20.2978723404,0.513401072086
353,Simi Valley Unified,5630249,Monte Vista,74,48.3513513514,0.502965372106
354,Riverside Unified,3336492,Ramona High,330,60.5909090909,0.554218787348
355,Novato Unified,2132272,Novato High,712,76.8005617978,0.740899191039
356,Grossmont Union High,3737905,Santana High,758,67.5250659631,0.371937452964
357,Willows Unified,1132851,Willows High,155,45.2967741935,0.319185059423
358,Amador County Unified,330050,North Star Independent Study,31,23.0,0.385672227674
359,Los Angeles Unified,117069,Helen Bernstein High,77,32.2727272727,0.869295923769
360,Ventura Unified,5630298,El Camino High,190,83.9684210526,0.733727810651
361,San Diego Unified,3737962,Garfield High,22,18.0,0.703490464196
362,El Dorado Union High,936302,Ponderosa High,1114,69.0897666068,0.378048780488
363,Simi Valley Unified,5630322,Santa Susana High,722,84.0083102493,0.510060259422
364,Ventura Unified,5630348,Foothill Technology High,595,91.287394958,0.640656361139
365,Long Beach Unified,1935758,Millikan High,1355,67.6531365314,0.575231756596
366,Sacramento City Unified,108951,Arthur A. Benjamin Health Pro,36,36.25,0.813576409309
367,Moorpark Unified,5630371,Moorpark College,45,67.0,0.518262586377
368,Carmel Unified,2730414,Carmel High,479,80.2901878914,0.679044744784
369,Oxnard Union High,5630389,Pacifica,576,63.7777777778,0.647087467283
370,Ventura County Office of Education,5630397,Gateway County,39,11.0,0.562587476419
371,Manhattan Beach Unified,1935808,Mira Costa High,1623,87.2575477511,0.682744775044
372,Marysville Joint Unified,5835202,Marysville High,261,53.8888888889,0.226726726727
373,Placer Union High,3131851,Colfax High,423,77.5177304965,0.391708967851
374,Antioch Unified,117218,Dozier-Libbey Medical High,246,78.4390243902,0.720506845325
375,Chino Valley Unified,3631587,Boys Republic High,15,0.0,0.56642519685
376,Garden Grove Unified,3033578,La Quinta High,525,77.4666666667,0.601399900892
377,Mojave Unified,1534460,Mojave Jr./Sr. High,13,46.0,0.3264781491
378,Mt. Diablo Unified,731646,College Park High,1072,72.3302238806,0.706974540128
379,Campbell Union High,4336137,Prospect High,668,70.7275449102,0.764052462527
