,District,School Code,School Name,number,score,vote
1682,Los Angeles Unified,1932987,John H. Francis Polytechnic,1843,49.3098209441,0.750625360785
1683,Santa Paula Union High,5635776,Santa Paula High,1043,41.9395973154,0.691237192231
1684,Atascadero Unified,4030151,Del Rio Continuation High,72,15.3611111111,0.472904383491
1685,Los Angeles Unified,1933001,King/Drew Medical Magnet High,1231,58.5272136474,0.855679055228
1686,Fresno Unified,1031897,Edison High,1542,57.7613488975,0.443277310924
1687,Golden Valley Unified,2030203,Liberty High,414,66.7608695652,0.272232885477
1688,Capistrano Unified,3030756,Tesoro,1777,81.2937535172,0.436565696302
1689,Fairfield-Suisun Unified,4833000,Fairfield High,1025,42.3307317073,0.649664153932
1690,Templeton Unified,4030185,Templeton Indep. St. High,83,49.9397590361,0.457703927492
1691,Orange County Department of Education,3030764,Access County Community,2168,10.8500922509,0.554275122895
1692,Los Angeles Unified,1933043,Benjamin Franklin Senior High,1208,48.0,0.820382855174
1693,Sacramento County Office of Education,106229,Palmiter Special Education,14,0.0,0.642857142857
1694,Rialto Unified,102830,Wilmer Amina Carter High,1711,44.5417884278,0.666440562998
1695,Sacramento County Office of Education,106237,Elinor Lincoln Hickey Jr./Sr.,37,11.4324324324,0.642857142857
1696,John Swett Unified,737023,John Swett High,297,56.2794612795,0.820858214137
1697,Fremont Union High,4333316,Homestead High,1741,75.748420448,0.810852120749
1698,Sacramento County Office of Education,106245,North Area Community,12,0.0,0.642857142857
1699,Delano Joint Union High,1531656,Valley High,64,4.78125,0.800452147702
1700,Escondido Union High,3735313,Orange Glen High,1578,41.9309252218,0.369605142332
1701,Huntington Beach Union High,3030806,HBUHSD Community Day,19,16.0,0.601399900892
1702,Delano Joint Union High,1531672,Delano High,1151,41.4648132059,0.800452147702
1703,Gridley Unified,433946,Esperanza High (Continuation),13,0.0,0.38407079646
1704,San Lorenzo Unified,130849,Arroyo High,1229,57.6818551668,0.789598540146
1705,Sacramento County Office of Education,106278,El Centro Jr./Sr. High,102,4.09803921569,0.642857142857
1706,San Luis Obispo County Office of Educati,4030250,San Luis Obispo County Commun,215,13.9860465116,0.674925097949
1707,East Side Union High,4334900,Mt. Pleasant High,1121,43.5165031222,0.790654620853
