,District,School Code,School Name,number,score,vote
414,San Lorenzo Valley Unified,4436754,San Lorenzo Valley High,853,46.5427901524,0.825955943475
415,Placer Union High,3130135,Maidu High Independent Study,60,46.9333333333,0.643084541917
416,Liberty Union High,733980,Liberty High,1923,46.6063442538,0.571727092258
417,East Side Union High,4332318,Foothill High,59,5.42372881356,0.790654620853
418,Fontana Unified,3630555,Fontana Miller (A. B.) High,504,32.251984127,0.598276322822
419,Rocklin Unified,3130150,Rocklin High,2328,69.25,0.451236019092
420,San Marcos Unified,3730215,Twin Oaks High,14,7.0,0.485431302545
421,Fairfield-Suisun Unified,123356,Matt Garcia Learning Center,14,0.0,0.649664153932
422,Woodland Joint Unified,101162,Pioneer High,979,41.3309499489,0.420741989882
423,Fresno Unified,1030279,Bullard High,1931,47.9409632315,0.571761688236
424,San Diego Unified,107094,Kearny International Business,151,71.5298013245,0.63646714996
425,Newport-Mesa Unified,3031853,Costa Mesa High,366,55.825136612,0.47624178429
426,Liberty Union High,733998,La Paloma High (Continuation),63,14.2063492063,0.571727092258
427,Twin Rivers Unified,3433265,Foothill High,483,33.9585921325,0.542284984841
428,Riverbank Unified,5036850,Riverbank High,143,46.8321678322,0.511285183218
429,Redlands Unified,3634995,"Orangewood High, Cont.",38,18.2368421053,0.560438237419
430,Kern Union High,1534775,North High,680,34.7985294118,0.184210526316
431,Los Alamitos Unified,3033917,Los Alamitos High,4003,68.8705970522,0.515223440825
432,Jefferson Union High,4137790,Westmoor High,1568,50.1020408163,0.776695791369
433,Gustine Unified,2431807,Gustine High,179,45.3016759777,0.529743048222
434,Roseville Joint Union High,3130176,Woodcreek High,2648,53.7345166163,0.516927675612
435,Travis Unified,4830022,Travis Education Center,46,6.17391304348,0.649664153932
436,Placentia-Yorba Linda Unified,3038023,Valencia High,1408,81.5134943182,0.503782332845
437,Roseville Joint Union High,3130184,Granite Bay High,2985,63.9608040201,0.402407566638
438,Campbell Union High,4338505,Westmont High,1981,49.9510348309,0.759295386734
439,Monterey Peninsula Unified,111435,Marina High,353,40.2181303116,0.751621643813
440,Corning Union High,5231709,Corning High,508,32.8346456693,0.349639855942
441,Lassen Union High,1833805,Lassen High,895,37.6983240223,0.25216
442,Santa Clara County Office of Education,4330320,County Community,25,3.84,0.773514246947
443,Oxnard Union High,5632849,Hueneme High,318,41.6477987421,0.593989852999
444,Capistrano Unified,3035987,Junipero Serra,70,17.2571428571,0.43391730904
445,Kern Union High,1530708,Bakersfield High,1163,43.871883061,0.42465976693
446,Fremont Union High,4334421,Lynbrook High,2464,87.4545454545,0.737441286522
447,Santa Barbara Unified,4235727,Santa Barbara Senior High,1661,65.6225165563,0.772852128796
448,Huntington Beach Union High,3031895,Edison High,3110,67.1845659164,0.472830529622
449,Rocklin Unified,3130200,Victory High,39,22.8461538462,0.451236019092
450,Tehachapi Unified,1536135,Tehachapi High,1297,50.3430994603,0.264682952183
451,Desert Sands Unified,3330909,Horizon,186,22.6182795699,0.441717002956
452,Benicia Unified,4830048,"Liberty High, Cont.",38,18.5,0.689301416707
453,Capistrano Unified,3036001,San Clemente High,3122,62.9971172325,0.404783451842
454,Chaffey Joint Union High,3630225,Alta Loma High,2141,52.3489023821,0.475426024151
455,East Side Union High,4335907,Piedmont Hills High,2212,58.5524412297,0.675513501039
456,Rocklin Unified,3130218,Rocklin Independent (Alte,62,19.4516129032,0.451236019092
457,Grossmont Union High,3732336,Granite Hills High,2541,51.5737898465,0.44045616003
458,San Bernardino City Unified,3636081,San Gorgonio High,60,13.4333333333,0.563017261764
459,Oakland Unified,136051,Oakland Technical High,1109,59.8809738503,0.855087197935
460,Placentia-Yorba Linda Unified,3031929,El Dorado High,1919,69.1620635748,0.503782332845
461,Fremont Union High,4334462,Monta Vista High,3520,87.9042613636,0.810852120749
462,Manteca Unified,3935103,Manteca High,801,43.6766541823,0.507855822551
463,Tulare Joint Union High,5430145,Tulare Technical Preparatory,12,8.0,0.509095204347
464,Chaffey Joint Union High,3630571,Rancho Cucamonga High,3123,56.3836055075,0.475426024151
465,Gonzales Unified,2730885,Gonzales High,108,36.1666666667,0.699789177793
466,Escondido Union High,3730058,San Pasqual High,1839,59.4980967917,0.515933646186
467,Manteca Unified,3935111,"Calla High, Cont.",53,2.32075471698,0.507855822551
468,Placentia-Yorba Linda Unified,3031945,El Camino Real Continuation Hi,57,14.6666666667,0.503782332845
469,San Diego Unified,3730314,University City High,1548,63.1317829457,0.535812574977
470,Poway Unified,118935,Del Norte High,2318,63.5802415876,0.480098943108
471,Conejo Valley Unified,5637004,Thousand Oaks High,2782,62.606038821,0.573899239703
472,Clovis Unified,1031053,Clovis High,2134,65.3969072165,0.398396767466
473,Moreno Valley Unified,3330958,March Valley,19,5.0,0.600726019361
474,Jurupa Unified,114157,Patriot High,1170,40.5803418803,0.588575560376
475,Orange Unified,3031952,El Modena High,1689,63.0112492599,0.581574185766
476,Orange Unified,3038098,Villa Park High,2425,62.6696907216,0.455688854489
477,Clovis Unified,113555,Clovis North High,2192,69.0328467153,0.405669291339
478,El Dorado Union High,932756,El Dorado High,1209,53.1157981803,0.376518218623
479,Morgan Hill Unified,4334488,"Central High, Cont.",27,26.0,0.62508259548
480,Modesto City High,5034905,Modesto High,922,59.2060737527,0.624695161083
481,Sacramento City Unified,3435419,McClatchy (C. K.) High,1277,57.9882537197,0.813576409309
482,Oakdale Joint Unified,5030192,Valley Oak Junior and Senior,15,7.0,0.381089459699
483,Banning Unified,3330974,Banning Independent Study,38,26.3684210526,0.449500318945
484,San Diego Unified,3734431,Mission Bay High,517,40.9787234043,0.655699070927
485,San Jose Unified,4333522,Leland High,2373,79.4167720185,0.769055225924
