,District,School Code,School Name,number,score,vote
750,Milpitas Unified,4331039,Calaveras Hills,11,27.0,0.761451562984
751,Carlsbad Unified,3730694,Carlsbad High,2598,62.9003079292,0.549352222947
752,Linden Unified,118307,Pride Continuation,13,23.0,0.546288209607
753,Riverside Unified,3334406,North (John W.) High,443,54.1106094808,0.6940433213
754,Anaheim Union High,3036712,Savanna High,309,33.0776699029,0.685525159022
755,Atascadero Unified,4030755,Atascadero High,1461,50.0951403149,0.472904383491
756,Mt. Diablo Unified,734764,Olympic Continuation High,25,0.0,0.641406041165
757,Capistrano Unified,3030574,Aliso Niguel High,2500,70.8268,0.504467148292
758,San Jose Unified,4337200,San Jose High,95,54.9473684211,0.824879227053
759,San Ramon Valley Unified,736819,Del Amigo High (Continuation),40,5.25,0.628745690798
760,Rocklin Unified,108084,Whitney High,1783,59.2938867078,0.451236019092
761,Escondido Union High,3732062,Escondido High,797,57.0100376412,0.513635995792
762,Fresno Unified,1035831,Roosevelt High,80,51.6125,0.73596287703
763,Oak Park Unified,5630199,"Oak View High, Cont.",12,8.0,0.679618001047
764,Chico Unified,431676,Chico High,1394,55.5681492109,0.611191139281
765,San Dieguito Union High,3731007,La Costa Canyon High,2328,63.7156357388,0.639365324083
766,Konocti Unified,1730118,Richard H. Lewis Alternative,28,21.3571428571,0.431428571429
767,Santa Rosa High,4930145,"Mesa High, Cont.",11,82.0,0.776655629139
768,Napa Valley Unified,101964,Napa Valley Alternative,41,46.2926829268,0.635677083333
769,Palo Verde Unified,3335759,Palo Verde High,380,26.9684210526,0.466775599129
770,Santa Barbara Unified,120402,Alta Vista Alternative High,29,51.9655172414,0.824541284404
771,Sacramento City Unified,101972,Rosemont High,605,49.0628099174,0.620729256388
772,Grossmont Union High,3730702,West Hills High,2044,52.6731898239,0.371937452964
773,Anaheim Union High,3030616,Oxford Academy,93,95.8494623656,0.555395524042
774,Pacific Grove Unified,2733657,Pacific Grove High,425,65.1247058824,0.745062037501
775,San Luis Coastal Unified,4030045,Pacific Beach High,20,25.0,0.674925097949
776,Ceres Unified,108076,Central Valley High,336,35.4226190476,0.549878345499
777,Dublin Unified,132704,Dublin High,1023,60.9022482893,0.700857618296
778,Lincoln Unified,3933793,"Larsson (Sture) High, Cont.",27,29.4444444444,0.594881537774
779,Kern Union High,1533538,Kern Valley High,457,28.0940919037,0.254545454545
780,Laytonville Unified,2332260,Laytonville High,41,39.7804878049,0.729838709677
781,Colton Joint Unified,3632742,Colton High,346,36.1242774566,0.621570090359
782,Orange County Department of Education,3030632,OCCS:CHEP/PCHS,319,54.6426332288,0.47624178429
783,Lincoln Unified,3933801,Lincoln High,1133,54.5957634598,0.594881537774
784,Gilroy Unified,118380,Christopher High,698,54.4169054441,0.697410402909
785,Fullerton Joint Union High,3033362,La Habra High,817,59.6621787026,0.532154474935
786,San Juan Unified,3432051,Del Campo High,1883,39.0690387679,0.486412512219
787,Lake Elsinore Unified,116343,Keith McCarthy Academy,46,10.652173913,0.418744769874
